날짜,매장,요일,총주문,매장주문,배달주문,대게kg,킹크랩kg,랍스타kg,주류매출,매장매출,배달매출,포장매출,현금매출,총매출,총kg,객단가,원본시트,중복
2026-03-29,안양점,일,12,12,,25.4,7.8,2.6,67000,3020600,,159000,0,3179600,35.8,264967,샘플,
2026-03-30,안양점,월,7,7,1,15.7,5.0,0.1,45000,1887700,233800,,0,2121500,20.8,303071,샘플,
2026-03-31,안양점,화,7,7,,12.4,6.2,0.2,31000,1947100,,176300,0,2123400,18.8,303343,샘플,
2026-04-01,안양점,수,,,,,,,,,,,,0,,,샘플,
2026-04-02,안양점,목,11,11,1,16.5,11.2,2.8,72000,3135900,104300,,0,3240200,30.5,294564,샘플,
2026-04-03,안양점,금,15,15,,27.1,12.3,3.0,102000,4317300,,,0,4317300,42.4,287820,샘플,
2026-04-04,안양점,토,16,16,,28.7,13.3,4.7,128000,4697700,,134300,0,4832000,46.7,302000,샘플,
2026-04-05,안양점,일,14,14,,29.5,12.7,1.2,116000,3779700,,76400,0,3856100,43.4,275436,샘플,
2026-04-06,안양점,월,6,6,,10.2,5.8,1.2,31000,1441700,,,0,1441700,17.2,240283,샘플,
2026-04-07,안양점,화,5,5,,8.7,3.6,1.5,24000,1220900,,,0,1220900,13.8,244180,샘플,
2026-04-08,안양점,수,8,8,,15.3,7.0,1.7,49000,2251900,,68800,0,2320700,24.0,290088,샘플,
2026-04-09,안양점,목,8,8,,16.0,7.7,1.8,38000,1904100,,107000,0,2011100,25.5,251388,샘플,
2026-04-10,안양점,금,9,9,,14.6,8.9,0.2,45000,2219200,,131300,0,2350500,23.7,261167,샘플,
2026-04-11,안양점,토,14,14,,29.9,11.4,3.7,67000,3828700,,164400,0,3993100,45.0,285221,샘플,
2026-04-12,안양점,일,12,12,,25.3,12.2,0.4,69000,3073300,,,0,3073300,37.9,256108,샘플,
2026-04-13,안양점,월,11,11,,19.7,9.9,0.1,45000,3230800,,,0,3230800,29.7,293709,샘플,
2026-04-14,안양점,화,4,4,,7.8,2.5,0.3,18000,962000,,105600,0,1067600,10.6,266900,샘플,
2026-04-15,안양점,수,10,10,,19.8,9.4,2.4,64000,2964100,,,0,2964100,31.6,296410,샘플,
2026-04-16,안양점,목,,,,,,,,,,,,0,,,샘플,
2026-04-17,안양점,금,15,15,1,31.2,13.5,3.8,87000,4465900,146800,122000,0,4734700,48.5,315647,샘플,
2026-04-18,안양점,토,17,17,,30.3,11.3,3.2,100000,4161500,,,0,4161500,44.8,244794,샘플,
2026-04-19,안양점,일,16,16,,28.8,9.8,2.2,85000,4784700,,140500,0,4925200,40.8,307825,샘플,
2026-04-20,안양점,월,9,9,,17.6,6.6,1.5,76000,2402700,,,0,2402700,25.7,266967,샘플,
2026-04-21,안양점,화,8,8,,16.1,5.2,1.9,44000,2284100,,,0,2284100,23.2,285512,샘플,
2026-04-22,안양점,수,11,11,1,23.8,9.4,2.1,61000,2799800,136800,100400,0,3037000,35.3,276091,샘플,
2026-04-23,안양점,목,8,8,,13.8,5.7,0.8,49000,1915900,,114300,0,2030200,20.3,253775,샘플,
2026-04-24,안양점,금,13,13,,23.0,8.9,0.3,112000,3264300,,126100,0,3390400,32.2,260800,샘플,
2026-04-25,안양점,토,18,18,,28.3,12.4,3.1,150000,5384200,,111300,0,5495500,43.8,305306,샘플,
2026-04-26,안양점,일,12,12,,23.2,12.6,1.0,90000,2976300,,92100,0,3068400,36.8,255700,샘플,
2026-04-27,안양점,월,7,7,,14.3,7.2,1.4,30000,1706300,,65800,0,1772100,22.9,253157,샘플,
2026-04-28,안양점,화,8,8,,16.1,7.7,0.0,45000,1991500,,,0,1991500,23.8,248938,샘플,
2026-04-29,안양점,수,7,7,,14.8,5.4,0.1,45000,1812900,,100100,0,1913000,20.3,273286,샘플,
2026-04-30,안양점,목,8,8,,13.9,6.7,0.0,65000,2358100,,145200,0,2503300,20.6,312912,샘플,
2026-05-01,안양점,금,14,14,,27.7,14.3,1.5,66000,3574400,,163900,0,3738300,43.5,267021,샘플,
2026-05-02,안양점,토,16,16,1,32.3,11.4,3.0,125000,4591000,209700,97100,0,4897800,46.7,306112,샘플,
2026-05-03,안양점,일,12,12,1,23.7,12.8,0.5,85000,2767500,96900,,0,2864400,37.0,238700,샘플,
2026-05-04,안양점,월,9,9,,21.4,9.6,1.7,63000,2147000,,,0,2147000,32.7,238556,샘플,
2026-05-05,안양점,화,11,11,,25.0,10.9,1.7,94000,2800100,,,0,2800100,37.6,254555,샘플,
2026-05-06,안양점,수,6,6,,11.1,4.2,1.4,44000,1391100,,169600,0,1560700,16.7,260117,샘플,
2026-05-07,안양점,목,10,10,,23.2,7.9,2.0,52000,2902200,,,0,2902200,33.1,290220,샘플,
2026-05-08,안양점,금,14,14,1,25.1,11.4,1.2,89000,4081800,116800,154800,0,4353400,37.7,310957,샘플,
2026-05-09,안양점,토,16,16,,26.0,12.0,0.4,140000,3684400,,133200,0,3817600,38.4,238600,샘플,
2026-05-10,안양점,일,9,9,,13.9,8.9,2.3,74000,2533300,,,0,2533300,25.1,281478,샘플,
2026-05-11,안양점,월,8,8,,12.8,8.7,0.0,38000,2350400,,,0,2350400,21.5,293800,샘플,
2026-05-12,안양점,화,8,8,,12.6,6.2,2.2,40000,2241100,,,0,2241100,21.0,280138,샘플,
2026-05-13,안양점,수,10,10,,20.4,8.9,2.1,45000,2809900,,,0,2809900,31.4,280990,샘플,
2026-05-14,안양점,목,10,10,,23.7,8.6,0.0,45000,2456700,,120000,0,2576700,32.3,257670,샘플,
2026-05-15,안양점,금,8,8,,14.5,5.7,2.3,42000,2334500,,,0,2334500,22.5,291812,샘플,
2026-05-16,안양점,토,16,16,,26.8,10.0,3.8,100000,4746100,,64900,0,4811000,40.6,300688,샘플,
2026-05-17,안양점,일,13,13,1,31.1,12.6,1.0,77000,3373900,145100,,0,3519000,44.7,270692,샘플,
2026-05-18,안양점,월,10,10,,16.3,11.0,0.0,52000,2725400,,105200,0,2830600,27.3,283060,샘플,
2026-05-19,안양점,화,10,10,,22.1,10.5,0.1,55000,2785900,,,0,2785900,32.7,278590,샘플,
2026-05-20,안양점,수,11,11,1,16.5,10.7,2.8,91000,2922700,119800,154900,0,3197400,30.0,290673,샘플,
2026-05-21,안양점,목,15,15,,26.1,13.9,3.7,123000,3525500,,,0,3525500,43.7,235033,샘플,
2026-05-22,안양점,금,15,15,,27.2,13.4,2.6,75000,4499300,,103600,0,4602900,43.2,306860,샘플,
2026-05-23,안양점,토,14,14,,22.9,13.0,0.7,113000,4148400,,,0,4148400,36.6,296314,샘플,
2026-05-24,안양점,일,16,16,,26.2,11.6,0.5,87000,4079400,,,0,4079400,38.3,254962,샘플,
2026-05-25,안양점,월,11,11,,23.7,7.6,1.7,78000,2534500,,139200,0,2673700,33.0,243064,샘플,
2026-05-26,안양점,화,9,9,,20.0,6.5,1.5,60000,2070500,,,0,2070500,28.0,230056,샘플,
2026-05-27,안양점,수,8,8,,15.2,6.9,1.2,46000,1889700,,,0,1889700,23.3,236212,샘플,
2026-05-28,안양점,목,,,,,,,,,,,,0,,,샘플,
2026-05-29,안양점,금,14,14,,25.6,13.4,1.2,65000,3619700,,,0,3619700,40.2,258550,샘플,
2026-05-30,안양점,토,19,19,,38.4,12.0,1.2,115000,5514000,,,0,5514000,51.6,290211,샘플,
2026-05-31,안양점,일,13,13,1,27.0,12.9,0.4,82000,3502700,199100,,0,3701800,40.3,284754,샘플,
2026-06-01,안양점,월,6,6,1,11.8,6.1,1.2,33000,1690900,172000,95200,0,1958100,19.1,326350,샘플,
2026-06-02,안양점,화,8,8,,15.3,5.2,2.0,40000,2159700,,,0,2159700,22.5,269962,샘플,
2026-06-03,안양점,수,9,9,,16.2,9.3,1.5,42000,2541100,,,0,2541100,27.0,282344,샘플,
2026-06-04,안양점,목,8,8,,15.7,4.8,2.4,66000,1993800,,,0,1993800,22.9,249225,샘플,
2026-06-05,안양점,금,10,10,,15.5,7.5,2.6,66000,2861300,,,0,2861300,25.6,286130,샘플,
2026-06-06,안양점,토,15,15,,28.8,12.7,2.6,63000,3834000,,126700,0,3960700,44.1,264047,샘플,
2026-06-07,안양점,일,11,11,,22.1,8.4,0.9,76000,3142900,,,0,3142900,31.4,285718,샘플,
2026-06-08,안양점,월,8,8,1,18.7,6.6,2.1,66000,1872300,225800,,0,2098100,27.4,262262,샘플,
2026-06-09,안양점,화,6,6,,14.0,5.3,1.4,28000,1589200,,160500,0,1749700,20.7,291617,샘플,
2026-06-10,안양점,수,8,8,,13.5,5.2,0.2,60000,2279100,,160000,0,2439100,18.9,304888,샘플,
2026-06-11,안양점,목,6,6,,14.0,4.0,0.3,45000,1567400,,,0,1567400,18.3,261233,샘플,
2026-06-12,안양점,금,14,14,,24.3,12.2,0.9,66000,4146600,,,0,4146600,37.4,296186,샘플,
2026-06-13,안양점,토,14,14,1,23.5,9.4,0.8,120000,3546500,99400,,0,3645900,33.7,260421,샘플,
2026-06-14,안양점,일,11,11,1,25.8,9.5,1.0,59000,2797900,231100,,0,3029000,36.3,275364,샘플,
2026-06-15,안양점,월,6,6,,10.1,5.0,1.4,41000,1701300,,,0,1701300,16.5,283550,샘플,
2026-06-16,안양점,화,6,6,,10.9,6.4,1.2,46000,1401000,,,0,1401000,18.5,233500,샘플,
2026-06-17,안양점,수,9,9,,14.1,7.9,0.3,37000,2417400,,,0,2417400,22.3,268600,샘플,
2026-06-18,안양점,목,8,8,,15.0,7.6,1.0,46000,2308800,,148100,0,2456900,23.6,307112,샘플,
2026-06-19,안양점,금,13,13,,27.0,13.2,1.2,69000,3227700,,,0,3227700,41.4,248285,샘플,
2026-06-20,안양점,토,16,16,,28.7,11.6,2.7,108000,3727100,,,0,3727100,43.0,232944,샘플,
2026-06-21,안양점,일,16,16,,31.7,11.5,0.5,119000,3798400,,128400,0,3926800,43.7,245425,샘플,
2026-06-22,안양점,월,7,7,1,15.2,4.7,0.6,59000,1625100,186100,,0,1811200,20.5,258743,샘플,
2026-06-23,안양점,화,6,6,,12.2,6.0,1.3,25000,1406000,,,0,1406000,19.5,234333,샘플,
2026-06-24,안양점,수,8,8,1,17.0,8.1,0.8,69000,2293900,180600,,0,2474500,25.9,309312,샘플,
2026-06-25,안양점,목,9,9,,15.5,8.7,1.8,45000,2165200,,,0,2165200,26.0,240578,샘플,
2026-06-26,안양점,금,13,13,1,30.9,14.3,3.1,100000,3426500,169300,,0,3595800,48.3,276600,샘플,
2026-06-27,안양점,토,16,16,,36.2,15.9,0.4,123000,4483500,,,0,4483500,52.5,280219,샘플,
2026-06-28,안양점,일,16,16,,35.9,17.1,4.3,133000,4514300,,154100,0,4668400,57.3,291775,샘플,
2026-06-29,안양점,월,11,11,,25.9,7.2,3.2,76000,3136300,,,0,3136300,36.3,285118,샘플,
2026-06-30,안양점,화,7,7,,16.0,6.2,2.0,51000,2045800,,,0,2045800,24.2,292257,샘플,
2026-07-01,안양점,수,9,9,1,14.2,8.3,2.3,63000,2283900,214800,,0,2498700,24.8,277633,샘플,
2026-07-02,안양점,목,8,8,,18.3,6.7,1.0,47000,2007600,,,0,2007600,26.0,250950,샘플,
2026-07-03,안양점,금,14,14,,33.5,9.7,3.7,82000,3619200,,135200,0,3754400,46.9,268171,샘플,
2026-07-04,안양점,토,16,16,,29.6,12.3,0.7,140000,3867500,,165800,0,4033300,42.6,252081,샘플,
2026-07-05,안양점,일,12,12,1,26.5,10.8,3.1,54000,3573300,169600,,0,3742900,40.4,311908,샘플,
2026-07-06,안양점,월,12,12,1,24.1,11.1,2.7,52000,3328000,102900,,0,3430900,37.9,285908,샘플,
2026-07-07,안양점,화,3,3,,5.5,2.8,0.6,22000,768900,,,0,768900,8.9,256300,샘플,
2026-07-08,안양점,수,,,,,,,,,,,,0,,,샘플,
2026-07-09,안양점,목,11,11,,25.3,7.3,1.2,96000,2769500,,115000,0,2884500,33.8,262227,샘플,
2026-07-10,안양점,금,17,17,1,29.7,11.8,4.7,91000,4514500,109500,136900,0,4760900,46.2,280053,샘플,
2026-07-11,안양점,토,16,16,,28.2,14.0,2.0,103000,4775500,,136700,0,4912200,44.2,307012,샘플,
2026-07-12,안양점,일,11,11,,19.7,11.2,1.6,92000,2567200,,,0,2567200,32.5,233382,샘플,
2026-07-13,안양점,월,12,12,,26.0,8.2,1.1,59000,2804900,,,0,2804900,35.3,233742,샘플,
2026-07-14,안양점,화,9,9,1,16.1,7.4,0.3,45000,2233900,134300,,0,2368200,23.8,263133,샘플,
2026-07-15,안양점,수,8,8,,15.2,8.1,1.5,50000,2276000,,,0,2276000,24.8,284500,샘플,
2026-07-16,안양점,목,8,8,,14.0,6.3,2.2,62000,2136400,,,0,2136400,22.5,267050,샘플,
2026-07-17,안양점,금,,,,,,,,,,,,0,,,샘플,
2026-07-18,안양점,토,13,13,,26.1,10.1,3.7,91000,3231600,,71500,0,3303100,39.9,254085,샘플,
2026-07-19,안양점,일,15,15,,35.1,10.2,0.8,119000,4209000,,,0,4209000,46.1,280600,샘플,
2026-07-20,안양점,월,6,6,,11.2,5.1,0.6,51000,1743300,,109600,0,1852900,16.9,308817,샘플,
2026-07-21,안양점,화,8,8,,18.7,5.1,0.0,61000,2161300,,,0,2161300,23.8,270162,샘플,
2026-07-22,안양점,수,11,11,,23.2,11.3,0.4,84000,2701000,,,0,2701000,34.9,245545,샘플,
2026-07-23,안양점,목,7,7,,11.3,6.7,1.5,45000,1910000,,132500,0,2042500,19.5,291786,샘플,
2026-07-24,안양점,금,9,9,,20.8,6.8,1.0,41000,2428400,,122000,0,2550400,28.6,283378,샘플,
2026-07-25,안양점,토,16,16,,35.0,13.2,2.4,81000,4774500,,,0,4774500,50.6,298406,샘플,
2026-07-26,안양점,일,16,16,,28.9,12.2,2.7,66000,3924000,,124400,0,4048400,43.8,253025,샘플,
2026-07-27,안양점,월,11,11,,20.7,6.9,2.1,66000,3087800,,174500,0,3262300,29.7,296573,샘플,
2026-07-28,안양점,화,8,8,,18.3,5.0,0.9,49000,2137600,,,0,2137600,24.2,267200,샘플,
2026-07-29,안양점,수,11,11,,18.4,10.0,0.4,86000,2657400,,61900,0,2719300,28.8,247209,샘플,
2026-07-30,안양점,목,8,8,,17.4,7.9,0.5,60000,2263100,,,0,2263100,25.8,282888,샘플,
2026-07-31,안양점,금,14,14,,21.2,14.4,3.0,100000,3837500,,79600,0,3917100,38.6,279793,샘플,
2026-08-01,안양점,토,16,16,,28.4,10.0,0.8,91000,4077800,,,0,4077800,39.2,254862,샘플,
2026-08-02,안양점,일,11,11,,21.3,7.1,1.1,71000,2775200,,127600,0,2902800,29.5,263891,샘플,
2026-08-03,안양점,월,12,12,1,20.7,7.3,3.3,96000,3356500,211600,106000,0,3674100,31.3,306175,샘플,
2026-08-04,안양점,화,8,8,,13.5,7.1,0.9,54000,1845100,,,0,1845100,21.5,230638,샘플,
2026-08-05,안양점,수,9,9,,20.5,6.9,1.5,53000,2360900,,,0,2360900,28.9,262322,샘플,
2026-08-06,안양점,목,9,9,1,15.1,7.5,1.6,38000,2470900,209400,146900,0,2827200,24.2,314133,샘플,
2026-08-07,안양점,금,12,12,1,22.3,11.2,2.6,55000,2961400,197600,,0,3159000,36.1,263250,샘플,
2026-08-08,안양점,토,13,13,,28.9,13.6,0.0,67000,3505100,,137700,0,3642800,42.5,280215,샘플,
2026-08-09,안양점,일,16,16,,26.9,9.6,2.2,115000,4130200,,,0,4130200,38.7,258138,샘플,
2026-08-10,안양점,월,8,8,,12.1,7.8,0.2,52000,2384900,,79500,0,2464400,20.1,308050,샘플,
2026-08-11,안양점,화,9,9,,19.9,9.4,2.5,63000,2071400,,,0,2071400,31.8,230156,샘플,
2026-08-12,안양점,수,9,9,,13.9,7.9,0.8,73000,2320000,,,0,2320000,22.6,257778,샘플,
2026-08-13,안양점,목,9,9,1,17.2,5.9,1.8,60000,2200400,247100,177100,0,2624600,24.9,291622,샘플,
2026-08-14,안양점,금,15,15,,34.0,15.4,0.5,105000,3835900,,,0,3835900,49.9,255727,샘플,
2026-08-15,안양점,토,17,17,,37.3,10.3,0.4,146000,4045200,,,0,4045200,48.0,237953,샘플,
2026-08-16,안양점,일,14,14,,30.5,9.0,0.1,86000,3277700,,,0,3277700,39.6,234121,샘플,
2026-08-17,안양점,월,12,12,,19.9,12.9,1.6,70000,3353400,,,0,3353400,34.4,279450,샘플,
2026-08-18,안양점,화,10,10,,20.9,8.4,1.9,66000,2827300,,,0,2827300,31.2,282730,샘플,
2026-08-19,안양점,수,13,13,,25.9,10.1,3.2,58000,2991500,,,0,2991500,39.2,230115,샘플,
2026-08-20,안양점,목,8,8,,14.6,6.9,2.3,68000,1930200,,89300,0,2019500,23.8,252438,샘플,
2026-08-21,안양점,금,15,15,,29.5,14.8,2.8,92000,4130100,,,0,4130100,47.1,275340,샘플,
2026-08-22,안양점,토,18,18,1,37.0,12.3,5.1,80000,4498200,122200,,0,4620400,54.4,256689,샘플,
2026-08-23,안양점,일,13,13,,27.0,11.8,2.6,77000,3663800,,68100,0,3731900,41.4,287069,샘플,
2026-08-24,안양점,월,8,8,,12.5,5.1,1.3,36000,2244500,,,0,2244500,18.9,280562,샘플,
2026-08-25,안양점,화,5,5,,9.3,4.7,0.7,40000,1404900,,,0,1404900,14.7,280980,샘플,
2026-08-26,안양점,수,,,,,,,,,,,,0,,,샘플,
2026-08-27,안양점,목,10,10,,22.2,9.4,0.8,72000,2306800,,,0,2306800,32.4,230680,샘플,
2026-08-28,안양점,금,16,16,,33.5,11.0,0.7,110000,3788700,,70600,0,3859300,45.2,241206,샘플,
2026-08-29,안양점,토,15,15,,35.1,16.0,1.6,87000,4019200,,90100,0,4109300,52.7,273953,샘플,
2026-08-30,안양점,일,15,15,1,24.0,10.9,3.6,74000,3749500,238400,,0,3987900,38.5,265860,샘플,
2026-08-31,안양점,월,7,7,1,14.5,5.9,1.8,44000,1634700,222100,,0,1856800,22.2,265257,샘플,
